date_no,shop_name,order_count,order_amount
2019-10-01,더제이수,19,1327300
2019-10-02,더제이수,12,722800
2019-10-03,더제이수,16,925000
2019-10-04,더제이수,21,1125300
2019-10-05,더제이수,15,691200
2019-10-06,더제이수,27,1304400
2019-10-07,더제이수,35,1771000
2019-10-08,더제이수,37,2040500
2019-10-09,더제이수,26,1878900
2019-10-10,더제이수,28,1181500
2019-10-11,더제이수,22,1642100
2019-10-12,더제이수,12,833400
2019-10-13,더제이수,17,1265000
2019-10-14,더제이수,35,1882400
2019-10-15,더제이수,29,1638100
2019-10-16,더제이수,26,1221300
2019-10-17,더제이수,14,654200
2019-10-18,더제이수,7,312700
2019-10-19,더제이수,12,380400
2019-10-20,더제이수,19,1257400
2019-10-21,더제이수,27,1593800
2019-10-22,더제이수,29,1726600
2019-10-23,더제이수,16,670350
2019-10-24,더제이수,20,915200
2019-10-25,더제이수,10,477050
2019-10-26,더제이수,33,1455100
2019-10-27,더제이수,82,5124100
2019-10-28,더제이수,102,4279400
