date_no,pv,uv
2019-09-01,238790,70788
2019-09-02,214738,69947
2019-09-03,284195,92083
2019-09-04,252544,85014
2019-09-05,237249,69475
2019-09-06,227441,63972
2019-09-07,284765,80434
2019-09-08,247126,72066
2019-09-09,202458,61943
2019-09-10,195622,59505
2019-09-11,182404,54633
2019-09-12,348401,129105
2019-09-13,262444,93141
2019-09-14,291312,104860
2019-09-15,284197,87928
2019-09-16,235383,73369
2019-09-17,214297,64562
2019-09-18,214492,66205
2019-09-19,232466,69319
2019-09-20,196006,57779
2019-09-21,249309,71922
2019-09-22,259168,73856
2019-09-23,209069,66874
2019-09-24,368670,124918
2019-09-25,253320,81632
2019-09-26,244479,85266
2019-09-27,177824,58360
2019-09-28,180422,55634
2019-09-29,216996,68129
2019-09-30,192656,60886
2019-10-01,185080,59287
2019-10-02,210101,78959
2019-10-03,184412,61362
2019-10-04,145814,47965
2019-10-05,158477,49927
2019-10-06,204103,64861
2019-10-07,178528,55815
2019-10-08,127818,39577
2019-10-09,150255,45251
2019-10-10,149590,45828
2019-10-11,107756,34277
2019-10-12,185178,65639
2019-10-13,199814,66640
2019-10-14,161601,54112
2019-10-15,172749,54610
2019-10-16,291547,96127
2019-10-17,167767,57368
2019-10-18,138934,46833
2019-10-19,157514,51674
2019-10-20,173566,58378
2019-10-21,148054,51151
2019-10-22,128305,42374
2019-10-23,143486,48889
2019-10-24,118085,41203
2019-10-25,106824,35368
2019-10-26,135174,44412
2019-10-27,163195,54727
2019-10-28,154456,53299
